date,SP500,ft3,ft6,ft9,ft100
2011-02-14,-1.282808311121585,0.18445786049350643,0.29777148122649555,0.34870161552249357,0.2248317414020344
2011-02-15,-1.2936753569697133,0.17473385511915426,0.2764419554160021,0.3186711205662223,-0.1517811314357921
2011-02-16,-1.2727228857404915,0.16499644189647258,0.2550687341444846,0.2885709447671461,-0.5054737062744367
2011-02-17,-1.262360111161418,0.15524610148639353,0.23365527524498195,0.2584105739252909,-0.8226899516765194
2011-02-18,-1.2558550117906129,0.14548331534826578,0.2122050465116647,0.2281995167942567,-1.092576563051703
2011-02-21,-1.307990357620003,0.13570856570258907,0.1907215247602529,0.19794729966251745,-1.307719625218595
2011-02-22,-1.3253688062297992,0.12592233549371162,0.1692081948854504,0.1676634609260587,-1.4645840318356858
2011-02-23,-1.345640511245797,0.11612510835247383,0.14766854891570477,0.1373575456561981,-1.5636218373564506
2011-02-24,-1.3489182744946528,0.10631736855881521,0.12610608506560983,0.10703910016643696,-1.6090466761568052
2011-02-25,-1.3141739840567854,0.09649960100433558,0.10452430678625918,0.07671766658218669,-1.6083022351782656
2011-02-28,-1.2956672284824793,0.08667229115482983,0.08292672181386229,0.04640277741721335,-1.5712804930485313
2011-03-01,-1.34833836253524,0.07683592501278402,0.06131684121695087,0.016103950160638463,-1.5093673661347295
2011-03-02,-1.343018300646713,0.06699098907984453,0.03969817844246609,-0.014169318121681374,-1.4344074684723083
2011-03-03,-1.2862121421877042,0.0571379703192649,0.018074248361068905,-0.04440755616758111,-1.3576846510568614
2011-03-04,-1.3109718614982884,0.04727735611832861,-0.00355143368802905,-0.07460132387702484,-1.2890105211401304
2011-03-07,-1.338757208423201,0.037409634250758335,-0.025175352852393185,-0.10474121764477631,-1.235999889009406
2011-03-08,-1.3092825527469556,0.027535292839104976,-0.046793995721534656,-0.13481787566354647,-1.2035915544705875
2011-03-09,-1.3138209941684476,0.01765482031713038,-0.06840385128160925,-0.16482198319388816,-1.1938472369871396
2011-03-10,-1.376627980729207,0.00776870539218176,-0.09000141186932158,-0.194744277797139,-1.2060334457142943
2011-03-11,-1.35350714304305,-0.0021225629924383205,-0.11158317412473417,-0.22457555452772804,-1.236963533995299
2011-03-14,-1.3734006446072566,-0.012018495695098538,-0.13314563994265105,-0.25430667108122523,-1.2815528282133752
2011-03-15,-1.4100107387406264,-0.021918603413470433,-0.15468531742227248,-0.28392855289452146,-1.3335209106197539
2011-03-16,-1.473019433809007,-0.03182239672214045,-0.17619872181479945,-0.3134321981945721,-1.3861635910893924
2011-03-17,-1.430559792954604,-0.0417293861102265,-0.1976823764686903,-0.34280868299220457,-1.4331137560626943
2011-03-18,-1.4167427601825058,-0.05163908201896486,-0.2191328137722274,-0.37204916601748783,-1.4690152008832844
