,SP500_NORM
SP500_NORM,1.0
ema,0.999179959335126
ma7,0.9980933632025087
12ema,0.9976717611499922
26ema,0.995666773489733
ma21,0.9950132594831986
ft10,0.9857739749118902
ft100,0.9844350451606376
ft5,0.9818583303703154
ft3,0.9808811725353752
PCUASHCASHC,0.9702778011413254
PCUATRADEATRADE,0.9681262391335705
PCUAWHLTRAWHLTR,0.9658892486795886
PCUADLVWRADLVWR,0.963714337614606
TLAACBW027NBOG,0.958055536813463
PCUATTDSVATTDSV,0.9544164989440749
TLBACBW027NBOG,0.9542369080094967
PCUARETTRARETTR,0.9515719819046211
TSIFRGHT,0.9467131417018142
PCUASTDSVASTDSV,0.9405943867217893
PCUATRNWRATRNWR,0.828741987607367
PCUATRANSATRANS,0.6801014694655103
DEXCHUS,0.6573952731425317
BUSAPPWNSAUS,0.6297782111240154
DPRIME,0.5702230284077935
EFFR,0.56043983543977
GVIPT54100S,0.5591755381973207
IORR,0.525278870156471
IOER,0.5252788701564709
INFECTDISEMVTRACKD,0.49239423981018815
PCUAINFOAINFO,0.4436679426801441
DPCREDIT,0.44184378198274066
WLEMUINDXD,0.34209017671269215
DFII5,0.30751204566539253
GVIPT54000S,0.25825418071093437
MACD,0.25792028256941946
EECTOT,0.172259101510724
DFII7,0.134033183847801
BUSAPPWNSAUSYY,0.11290180388320831
MEDCPIM158SFRBCLE,0.11198401285941363
SFTPAGRM158SFRBSF,0.11021095684464405
GVIPT51120S,0.06667134837784225
GVIPT54200S,0.04717882116978965
momentum,0.03728569892636688
PCUOMFGOMFG,0.03077470324452997
PCUAMUMAMUM,0.02882671672561849
UNRATE,0.016648699167454237
CBUSAPPWNSAUSYY,0.014861815150173862
GVIPT54220S,0.008169850582966931
CBUSAPPWNSAUS,0.008099184200159712
DFII10,-0.057352495877589636
GVIPT51200S,-0.07371976125433334
TEDRATE,-0.08996147053750603
MORTGAGE15US,-0.09117423084442894
GVIPT51000S,-0.13170506607173119
GVIPT51100S,-0.14026457907506884
GVIPT50030S,-0.159987406031783
GVIPT51110S,-0.16700255473702877
FRGSHPUSM649NCIS,-0.18446159769089507
GVIPT52300S,-0.18741722076614395
GVIPT50002S,-0.2517940069577128
DLTIIT,-0.2659378108873129
MORTGAGE30US,-0.3037169265819359
DFII20,-0.3796191546333345
GVIPT52100S,-0.4078548183331746
GVIPT521A3S,-0.4141349956374686
GVIPT52000S,-0.44573043466694484
T10YIE,-0.4878830310674635
DFII30,-0.4995970283470979
BAA10Y,-0.5736690516197239
DEXUSEU,-0.6212024523213824
AAA10Y,-0.7053034866212551
PCUOMINOMIN,-0.7640888514290228
DEXUSUK,-0.7754645167635186
ASEANTOT,-0.7936965278071477
CUUR0000SA0R,-0.9627913284370617
