,feature,importance
0,AAA10Y,0.006670902
1,ASEANTOT,0
2,BAA10Y,0.013047743
3,BUSAPPWNSAUS,0
4,BUSAPPWNSAUSYY,0
5,CBUSAPPWNSAUS,0
6,CBUSAPPWNSAUSYY,0
7,CUUR0000SA0R,0
8,DEXCHUS,0.000141875
9,DEXUSEU,0.000138548
10,DEXUSUK,0
11,DFII10,0
12,DFII20,0.000135764
13,DFII30,0
14,DFII5,0
15,DFII7,0.000157316
16,DLTIIT,0.000127613
17,DPCREDIT,0
18,DPRIME,0
19,EECTOT,0
20,EFFR,0
21,FRGSHPUSM649NCIS,0
22,GVIPT50002S,0.005429027
23,GVIPT50030S,0
24,GVIPT51000S,0
25,GVIPT51100S,0
26,GVIPT51110S,0
27,GVIPT51120S,0
28,GVIPT51200S,0
29,GVIPT52000S,0
30,GVIPT52100S,0
31,GVIPT521A3S,0
32,GVIPT52300S,0
33,GVIPT54000S,0
34,GVIPT54100S,0
35,GVIPT54200S,0
36,GVIPT54220S,0
37,INFECTDISEMVTRACKD,0.000181877
38,IOER,0
39,IORR,0
40,MEDCPIM158SFRBCLE,0.000137073
41,MORTGAGE15US,0
42,MORTGAGE30US,0
43,PCUADLVWRADLVWR,0
44,PCUAINFOAINFO,0
45,PCUAMUMAMUM,0
46,PCUARETTRARETTR,0
47,PCUASHCASHC,0
48,PCUASTDSVASTDSV,0
49,PCUATRADEATRADE,0
50,PCUATRANSATRANS,0.000131396
51,PCUATRNWRATRNWR,0
52,PCUATTDSVATTDSV,0
53,PCUAWHLTRAWHLTR,0
54,PCUOMFGOMFG,0
55,PCUOMINOMIN,0
56,SFTPAGRM158SFRBSF,0
57,T10YIE,0
58,TEDRATE,0
59,TLAACBW027NBOG,0.042419158
60,TLBACBW027NBOG,0
61,TSIFRGHT,0
62,UNRATE,0
63,WLEMUINDXD,0
64,ft3,0
65,ft5,0.000128749
66,ft10,0.000169117
67,ft100,0.000149294
68,ma7,0
69,ma21,0.000160866
70,26ema,0.000145648
71,12ema,0
72,MACD,0.105986714
73,ema,0
74,momentum,0.000153253
75,SP500_DIFF,0.824388027
